,content,end_time,start_time,count,alive_time,start_mnth_day,end_mnth_day
4649,武磊进球,2020-02-17 07:44:02,2020-01-05 07:22:02,1382648,1032.3666666666666,2020-01-05,2020-02-17
5380,武磊首发,2020-02-24 07:52:02,2020-01-12 19:44:02,268141,1020.1333333333333,2020-01-12,2020-02-24
5275,非诚勿扰,2020-02-23 07:26:01,2020-01-11 22:28:01,244948,1016.9666666666667,2020-01-11,2020-02-23
1084,锦衣之下,2020-02-10 12:18:01,2019-12-30 11:54:02,1597705,1008.3997222222222,2019-12-30,2020-02-10
105,唐一菲,2020-02-11 22:24:01,2020-01-01 18:04:02,945139,988.3330555555556,2020-01-01,2020-02-11
2275,周杰伦,2020-01-24 09:40:02,2019-12-15 00:42:02,638426,968.9666666666667,2019-12-15,2020-01-24
442,暴雪蓝色预警,2020-02-13 17:30:01,2020-01-05 11:28:02,1782769,942.0330555555555,2020-01-05,2020-02-13
5783,钟南山,2020-02-28 16:14:02,2020-01-20 23:16:02,2124258,928.9666666666667,2020-01-20,2020-02-28
215,任嘉伦眼神,2020-02-09 20:28:01,2020-01-02 21:54:01,429961,910.5666666666667,2020-01-02,2020-02-09
3765,歌手当打之年,2020-02-08 11:12:02,2020-01-01 23:04:01,890113,900.1336111111111,2020-01-01,2020-02-08
4055,新世界,2020-02-20 07:08:01,2020-01-13 20:00:01,830533,899.1333333333333,2020-01-13,2020-02-20
5835,我家那闺女,2020-02-29 07:48:02,2020-01-23 23:12:01,1956822,872.6002777777778,2020-01-23,2020-02-29
6067,武汉日记,2020-03-02 08:16:01,2020-01-26 20:36:01,295232,851.6666666666666,2020-01-26,2020-03-02
3285,欢乐喜剧人,2020-03-02 07:16:01,2020-01-26 19:58:01,250826,851.3,2020-01-26,2020-03-02
2581,新相亲大会,2020-03-01 23:02:02,2020-01-26 22:32:02,492323,840.5,2020-01-26,2020-03-01
550,金球奖,2020-01-06 14:00:01,2019-12-03 07:12:01,453575,822.8,2019-12-03,2020-01-06
4172,朴灿烈直播,2020-02-20 07:10:01,2020-01-18 03:28:02,381124,795.6997222222222,2020-01-18,2020-02-20
3284,豆瓣崩了,2020-03-05 18:52:02,2020-02-02 22:56:02,255600,763.9333333333333,2020-02-02,2020-03-05
4463,歌手,2020-02-29 09:10:02,2020-01-28 17:16:01,911575,759.9002777777778,2020-01-28,2020-02-29
2973,大主宰,2020-03-01 07:30:02,2020-01-30 20:02:01,551931,731.4669444444445,2020-01-30,2020-03-01
6245,陈薇,2020-03-04 08:46:02,2020-02-03 13:34:02,569853,715.2,2020-02-03,2020-03-04
